class,stage,psnr,ssim
incorrect_mask,inverse_filter,10.935271300118167,0.07233548605031585
incorrect_mask,wiener_filter,24.5954264186797,0.6688538157283287
incorrect_mask,blurred,21.595087342614207,0.5487455285019054
incorrect_mask,inverse_filter,8.02138050666603,0.05882925386408353
incorrect_mask,wiener_filter,20.397568341915907,0.5679136217580476
incorrect_mask,blurred,23.313051852124403,0.5876718770015886
incorrect_mask,inverse_filter,8.417662440002978,0.09045552783184904
incorrect_mask,wiener_filter,20.990877908820032,0.5418816493733298
incorrect_mask,blurred,21.444489803724412,0.6871228249582834
incorrect_mask,inverse_filter,6.858242231864607,0.08820528422277968
incorrect_mask,wiener_filter,19.372777225318437,0.5674679215531205
incorrect_mask,blurred,25.91751105723191,0.7160158765072724
incorrect_mask,inverse_filter,14.795451970390944,0.3327370160094778
incorrect_mask,wiener_filter,24.3480411631418,0.69359045145857
incorrect_mask,blurred,22.931938308974637,0.5705789037626026
incorrect_mask,inverse_filter,8.837248162301101,0.11380706408789779
incorrect_mask,wiener_filter,20.256797263310546,0.5793920939312023
incorrect_mask,blurred,23.086129621648244,0.6928084015385729
incorrect_mask,inverse_filter,7.092856613349131,0.0876782895802073
incorrect_mask,wiener_filter,19.57502464415547,0.5462198476667705
incorrect_mask,blurred,23.1691625581971,0.6510846257565719
incorrect_mask,inverse_filter,7.544441338515266,0.07535732202559409
incorrect_mask,wiener_filter,21.10414307903044,0.5864233055188125
incorrect_mask,blurred,23.89781425695925,0.7247725194415768
incorrect_mask,inverse_filter,7.436634497020629,0.10515629546465113
incorrect_mask,wiener_filter,19.891901356195305,0.5546016033049987
incorrect_mask,blurred,20.62532583611832,0.5893633267559943
incorrect_mask,inverse_filter,6.654483757723581,0.058438524650852246
incorrect_mask,wiener_filter,18.925350992010937,0.5654991294835017
incorrect_mask,blurred,21.227504264257462,0.6922006152943219
incorrect_mask,inverse_filter,6.106268326166927,0.090628419865627
incorrect_mask,wiener_filter,18.37504672782169,0.5436507606212494
incorrect_mask,blurred,27.756571459454396,0.9082050613987159
incorrect_mask,inverse_filter,7.018463613706992,0.130611042320798
incorrect_mask,wiener_filter,22.735470424138157,0.770434267798193
incorrect_mask,blurred,23.481179478033653,0.6091721502568485
incorrect_mask,inverse_filter,8.36080691439588,0.08197501646928011
incorrect_mask,wiener_filter,22.132425465890954,0.603112395083007
incorrect_mask,blurred,23.593938057762294,0.6522751589259914
incorrect_mask,inverse_filter,8.386444937241368,0.10572737356870485
incorrect_mask,wiener_filter,18.892919804943176,0.5115719393650341
incorrect_mask,blurred,24.67692898224246,0.6671715433268571
incorrect_mask,inverse_filter,7.9698782060697315,0.07342269086826217
incorrect_mask,wiener_filter,21.733220447749627,0.5960675746557319
incorrect_mask,blurred,23.187781330723254,0.7061431029303277
incorrect_mask,inverse_filter,6.612156756173093,0.04208687295646174
incorrect_mask,wiener_filter,21.146216903506282,0.596775629187464
incorrect_mask,blurred,24.152083485675586,0.6925127336473201
incorrect_mask,inverse_filter,5.67757545902208,0.05965914344853638
incorrect_mask,wiener_filter,20.438990206428134,0.5513719572524621
incorrect_mask,blurred,23.919324923270658,0.6026569834530415
incorrect_mask,inverse_filter,7.617884569023411,0.07554822001454076
incorrect_mask,wiener_filter,20.667330620695576,0.5252524036076083
incorrect_mask,blurred,25.545205829107047,0.7302846495027694
incorrect_mask,inverse_filter,7.435035880350384,0.09753590832147635
incorrect_mask,wiener_filter,21.402890327042876,0.6028944238447839
