class,method,iou,dice
incorrect_mask,watershed,0.0013415892672858616,0.0026795836339276514
incorrect_mask,canny_filled,0.64605712890625,0.7849753420594016
incorrect_mask,watershed,0.0024345818831040017,0.004857338178678085
incorrect_mask,canny_filled,0.46342728687532425,0.6333451494741817
incorrect_mask,watershed,0.002966162023634379,0.005914779851893912
incorrect_mask,canny_filled,0.4832305908203125,0.6515919962964868
incorrect_mask,watershed,0.0054863524542153146,0.010912833258898231
incorrect_mask,canny_filled,0.441619873046875,0.6126717331018862
incorrect_mask,watershed,0.0027856404726602866,0.005555804471526502
incorrect_mask,canny_filled,0.1071316484206251,0.1935300983825246
incorrect_mask,watershed,0.0003299986105321662,0.0006597794947478079
incorrect_mask,canny_filled,0.43206787109375,0.6034181477219452
incorrect_mask,watershed,0.00700172293705781,0.013906079359301056
incorrect_mask,canny_filled,0.6703230953330674,0.8026268656716418
incorrect_mask,watershed,0.0007126277639776846,0.0014242405745793403
incorrect_mask,canny_filled,0.5308074951171875,0.693499995016098
incorrect_mask,watershed,0.0017847061608785126,0.003563053318547874
incorrect_mask,canny_filled,0.3489099086380413,0.5173212924061421
incorrect_mask,watershed,0.0011154602794735027,0.002228434828410518
incorrect_mask,canny_filled,0.4733340441411664,0.6425345915590807
incorrect_mask,watershed,0.00012155394564107552,0.00024307834415031966
incorrect_mask,canny_filled,0.49281891991634885,0.6602527786075545
incorrect_mask,watershed,0.0,0.0
incorrect_mask,canny_filled,0.46234130859375,0.6323302308109687
incorrect_mask,watershed,0.001378094703950004,0.002752396345073691
