class,noise_type,filter,psnr,ssim
with_mask,saltpepper,median,28.009636536308626,0.8524370632400808
with_mask,saltpepper,none,17.381666858636112,0.39868124959670515
with_mask,saltpepper,mean,24.355150373894045,0.611866729482538
with_mask,saltpepper,median,29.452383426637773,0.8824291918768733
with_mask,saltpepper,none,17.776159101839177,0.39348855525750875
with_mask,saltpepper,mean,24.493046350253735,0.5856746591228797
with_mask,saltpepper,median,28.995820160162577,0.8201815958369147
with_mask,blur,none,24.21821469052734,0.7651462360992425
with_mask,blur,mean,23.987861202133764,0.7441371294224042
with_mask,blur,median,24.084627736990576,0.7507040018690522
with_mask,blur,none,20.304370843671723,0.5571266436755327
with_mask,blur,mean,20.12301296996197,0.5367917935534717
with_mask,blur,median,20.225282983423355,0.5446310595930216
with_mask,blur,none,23.96251381635768,0.7081188135499695
with_mask,blur,mean,23.829458650461973,0.6957565360356962
with_mask,blur,median,23.9125016068961,0.6990786824992431
with_mask,blur,none,23.749314210513894,0.7015462813475448
with_mask,blur,mean,23.532962090746988,0.6820109233679869
with_mask,blur,median,23.665509820224425,0.6897836051477203
with_mask,blur,none,24.008068655654608,0.6518558646167878
with_mask,blur,mean,23.71585329816908,0.6321518214792287
with_mask,blur,median,23.86080413752074,0.6378362202648903
with_mask,blur,none,24.44249378080451,0.7272252213340457
with_mask,blur,mean,24.123598103346605,0.7027946183173714
with_mask,blur,median,24.342451537213577,0.7125568569844397
with_mask,blur,none,22.822625290238946,0.6793556366595951
with_mask,blur,mean,22.687314244088405,0.6651575312966151
with_mask,blur,median,22.76918731956899,0.6692600388809312
with_mask,blur,none,28.724499634836498,0.9028095638697705
with_mask,blur,mean,28.560754958928246,0.8985982276698267
with_mask,blur,median,28.676255905712026,0.9011220558161733
with_mask,blur,none,23.533019333753824,0.7446034440333578
with_mask,blur,mean,23.347424805907423,0.729883025658779
with_mask,blur,median,23.450023712309033,0.7373685806904834
with_mask,blur,none,23.499274947330168,0.6043676060831252
with_mask,blur,mean,23.36686558072123,0.5901999346552852
with_mask,blur,median,23.44193836457412,0.5954251547216908
with_mask,blur,none,23.84067553974342,0.7605146994085294
with_mask,blur,mean,23.671643029079974,0.7535290019298652
with_mask,blur,median,23.798059527863202,0.7579392999984766
with_mask,blur,none,22.909650516763662,0.7035512715813125
with_mask,blur,mean,22.786674499552724,0.6947321258925827
with_mask,blur,median,22.86622421976055,0.698949029956989
with_mask,blur,none,23.089976009885234,0.6632864787063465
with_mask,blur,mean,22.819777171094138,0.6421007055825743
with_mask,blur,median,22.970494282650492,0.6517730358682923
with_mask,blur,none,32.95194279369064,0.9510955559340979
with_mask,blur,mean,32.58258897030082,0.9466224777737371
with_mask,blur,median,32.85654792028346,0.9491282821276382
with_mask,blur,none,29.530790352034366,0.9172285179671368
with_mask,blur,mean,29.103904583484926,0.9101250710997711
with_mask,blur,median,29.32906377531365,0.9142780829924462
with_mask,blur,none,28.072758272057598,0.8386135719010759
with_mask,blur,mean,27.945698468533436,0.8338361483206174
with_mask,blur,median,28.037947474050004,0.835702261336675
with_mask,blur,none,24.174727550904702,0.6797585282540286
with_mask,blur,mean,24.09346171799873,0.6753238376872277
with_mask,blur,median,24.149443666109335,0.6774289760602645
with_mask,blur,none,29.961689047707047,0.9149262718607
with_mask,blur,mean,29.713725720749565,0.908494013399447
with_mask,blur,median,29.933173273793244,0.9117458214631441
with_mask,blur,none,20.449799131394325,0.6490793557194878
with_mask,blur,mean,20.28412138743887,0.6249633484064302
with_mask,blur,median,20.35837940801421,0.6322006393642283
with_mask,blur,none,35.1525395391799,0.9456817820070578
with_mask,blur,mean,34.79766811647035,0.9424234449609483
with_mask,blur,median,35.06734753190003,0.9440708384474017
with_mask,blur,none,24.21076018343935,0.666364277031335
with_mask,blur,mean,24.040678950177778,0.6510723222935821
with_mask,blur,median,24.11812367703407,0.6555926780227157
with_mask,blur,none,26.50456362738884,0.8695856705198027
with_mask,blur,mean,26.2437075273716,0.8604425731997862
with_mask,blur,median,26.45805058044044,0.8668617249128486
