class,K,psnr,ssim
without_mask,0.001,18.25807744418372,0.4792509198862061
without_mask,0.01,22.094831391613567,0.6917289037969
without_mask,0.1,21.915141919991758,0.7938988042646795
without_mask,1.0,10.196012685492843,0.6054812230551202
without_mask,0.001,19.020888850427724,0.5185090084856996
without_mask,0.01,24.12648966814649,0.7654272526884975
without_mask,0.1,25.785290796086645,0.8734898151318415
without_mask,1.0,13.738378250800423,0.666649783723114
without_mask,0.001,19.791368068128097,0.5816679300138324
without_mask,0.01,24.85737830089954,0.7887285276811362
without_mask,0.1,23.51747041094548,0.8390675003871989
without_mask,1.0,10.549091617885756,0.6083653950347214
without_mask,0.001,19.097873842118908,0.5666993868271386
without_mask,0.01,23.034218540766776,0.7676401829129292
without_mask,0.1,23.490666942107048,0.8497223174174151
without_mask,1.0,11.121737286415463,0.6240722053241984
without_mask,0.001,17.729554555033722,0.5159539455979947
without_mask,0.01,18.971047697341813,0.6007612347570039
without_mask,0.1,18.012534252223634,0.6175233628966333
without_mask,1.0,8.610236213171392,0.4694186920760431
without_mask,0.001,20.15081295744327,0.5649244102585292
without_mask,0.01,23.922712985326342,0.7281328929948513
without_mask,0.1,24.44910191579568,0.7740983380457368
without_mask,1.0,13.564203429689423,0.5775716354745958
without_mask,0.001,22.375912769242664,0.8010031380252246
without_mask,0.01,22.503264790498683,0.8288807454442654
without_mask,0.1,19.411229111755457,0.8109806730039565
without_mask,1.0,7.605015205406667,0.5938611252704497
without_mask,0.001,22.4630937249157,0.7391628626719705
without_mask,0.01,26.40895805850116,0.8782231493534377
without_mask,0.1,24.983564577519417,0.9346365341413487
without_mask,1.0,11.852580196623556,0.6981062400501605
without_mask,0.001,19.513826622542506,0.5834024254534206
without_mask,0.01,22.85246905425621,0.749459232350226
without_mask,0.1,23.266216027882948,0.8002614892998511
without_mask,1.0,13.314880797770869,0.5793874011123935
without_mask,0.001,15.672727308554489,0.40809177853039924
without_mask,0.01,19.8709726506679,0.6535954783479019
without_mask,0.1,20.881757624420267,0.7623191986530041
without_mask,1.0,10.421465821142634,0.5728761326544988
incorrect_mask,0.001,17.79686328858662,0.37045108751786626
incorrect_mask,0.01,21.076559227771426,0.5603005733410953
incorrect_mask,0.1,21.3290685400639,0.6594526967286645
incorrect_mask,1.0,10.966841067958587,0.5102383453608605
incorrect_mask,0.001,19.467924627880354,0.5065131377185763
incorrect_mask,0.01,21.873461504177726,0.6238910922447909
incorrect_mask,0.1,22.07140394805655,0.6509353582654466
incorrect_mask,1.0,14.409365897993379,0.46806286865546903
incorrect_mask,0.001,20.823023224376456,0.4912642203070491
incorrect_mask,0.01,23.67448463645779,0.6098382554728856
incorrect_mask,0.1,23.11171399479496,0.6432997694788309
incorrect_mask,1.0,13.203226012641249,0.4653025407716487
incorrect_mask,0.001,17.7773398187855,0.4756319315140345
incorrect_mask,0.01,19.613049064314986,0.574891706122261
incorrect_mask,0.1,18.92574481064689,0.5557016670999974
incorrect_mask,1.0,10.821236368835418,0.3511263949628259
incorrect_mask,0.001,19.55978906953062,0.4652826724497973
incorrect_mask,0.01,21.568698833530178,0.570593416872291
incorrect_mask,0.1,20.63151827873419,0.556641655211589
incorrect_mask,1.0,10.979597660299639,0.3672110373663709
incorrect_mask,0.001,20.904819710246514,0.6786617238738029
incorrect_mask,0.01,24.528371306513126,0.8497932685830576
incorrect_mask,0.1,22.250113191632153,0.9036143883256734
incorrect_mask,1.0,9.251341409313659,0.6721871300635085
incorrect_mask,0.001,16.43657522452405,0.42751722509960205
incorrect_mask,0.01,18.70257535979801,0.5451146175908856
