class,method,compression_ratio,psnr,ssim
without_mask,jpeg_q30,4.218560452891225,34.484504807453995,0.9332127500835949
without_mask,jpeg_q70,2.4403508771929823,39.02448118940008,0.9695683730767163
without_mask,jpeg_q90,1.3083965636169812,43.284709463038936,0.9868487619981209
without_mask,wavelet_t70,3.324619104790571,45.15536769142044,0.9884131893394664
without_mask,wavelet_t90,9.99379860722818,34.65130102479588,0.9321045817076463
incorrect_mask,jpeg_q30,5.172825250192456,30.15694342814506,0.8447594071637847
incorrect_mask,jpeg_q70,2.7443332652644474,33.13736274073962,0.9127497626306255
incorrect_mask,jpeg_q90,1.334425578393407,37.651346538178075,0.9629332687657727
incorrect_mask,wavelet_t70,3.3184465036204367,42.538802203674386,0.9721752235091489
incorrect_mask,wavelet_t90,9.99379860722818,32.25310357914683,0.8560265910154484
incorrect_mask,jpeg_q30,4.943694060211554,30.096882608772614,0.8683423898211603
incorrect_mask,jpeg_q70,2.715562706713149,33.26533663570869,0.9273283172004527
incorrect_mask,jpeg_q90,1.3532451334135152,37.014549195787595,0.9651055412677118
incorrect_mask,wavelet_t70,3.3139717160820537,40.4736772056118,0.9730156711406006
incorrect_mask,wavelet_t90,9.990243902439024,31.131381441782423,0.862062512101024
incorrect_mask,jpeg_q30,5.697733918128655,29.9897774567342,0.8220134862554174
incorrect_mask,jpeg_q70,2.8978529603122967,32.95109489263839,0.8927148827810695
incorrect_mask,jpeg_q90,1.329325488189648,36.737370957685435,0.9492369129802065
incorrect_mask,wavelet_t70,3.320464102953843,39.65550163064905,0.9565694439728794
incorrect_mask,wavelet_t90,9.989736293887505,32.06360580868205,0.8355798296677256
incorrect_mask,jpeg_q30,4.668803418803419,27.075386457644687,0.8634121338632309
incorrect_mask,jpeg_q70,2.5431619786614936,30.71423318161227,0.9263247912395617
incorrect_mask,jpeg_q90,1.3500154464009886,35.184192538545915,0.9666155388346823
incorrect_mask,wavelet_t70,3.3232142253473516,35.69349385598067,0.9524421036056033
incorrect_mask,wavelet_t90,9.996847511059135,26.098174345238803,0.805242366616147
incorrect_mask,jpeg_q30,5.0431625102767885,27.872225916032896,0.8429510097798985
incorrect_mask,jpeg_q70,2.614177143263016,31.034998620648217,0.9140696943683461
incorrect_mask,jpeg_q90,1.3200746027760841,35.7438577462336,0.9646581597366666
incorrect_mask,wavelet_t70,3.3307582842041064,35.2381559425888,0.944128149061712
incorrect_mask,wavelet_t90,9.988721231519586,27.146551898835234,0.7844314549549233
incorrect_mask,jpeg_q30,3.7918490153172866,37.68216087904841,0.9547055766231604
incorrect_mask,jpeg_q70,2.375021415110502,42.6602790821381,0.980654944286397
incorrect_mask,jpeg_q90,1.3280007663569307,47.242808361257325,0.9914812270046687
incorrect_mask,wavelet_t70,3.294480378028754,48.70741724427033,0.9936290266235567
incorrect_mask,wavelet_t90,9.99227485261232,38.59198057327578,0.9598663737565479
incorrect_mask,jpeg_q30,4.864651031364792,27.07770533818078,0.8490504267227909
incorrect_mask,jpeg_q70,2.5450513711286864,30.76621283335749,0.9153442673123005
incorrect_mask,jpeg_q90,1.328651360216091,36.11943552211661,0.9666156309491667
incorrect_mask,wavelet_t70,3.327826675693974,36.47118088657261,0.9524429160405307
incorrect_mask,wavelet_t90,9.994814701845357,26.69758182350772,0.8065367077799451
incorrect_mask,jpeg_q30,4.74260834345889,31.26704005685307,0.8996228100465018
incorrect_mask,jpeg_q70,2.638463271744029,34.27392500656937,0.9412662428438452
incorrect_mask,jpeg_q90,1.3353289998859619,38.37083152453773,0.972549054507057
incorrect_mask,wavelet_t70,3.3196231384864756,43.96171546475487,0.9871919293774262
incorrect_mask,wavelet_t90,9.98922873691698,32.82065503253168,0.9077327773739752
incorrect_mask,jpeg_q30,5.012179395328844,28.395308522557876,0.8462715057752166
incorrect_mask,jpeg_q70,2.629086809470124,31.637121118558362,0.9138293871033342
incorrect_mask,jpeg_q90,1.3317089884646134,36.148845153041556,0.9630361237751739
incorrect_mask,wavelet_t70,3.328897241834713,37.202915692543975,0.9543692578197794
incorrect_mask,wavelet_t90,9.990243902439024,28.469958493098982,0.7676933055817207
incorrect_mask,jpeg_q30,5.129700996677741,27.214740056788212,0.8230012218038408
incorrect_mask,jpeg_q70,2.6444474892101115,30.28933881111337,0.9065443682484169
incorrect_mask,jpeg_q90,1.3646680336562258,34.86927463378576,0.9629877398668678
incorrect_mask,wavelet_t70,3.330814711911498,34.55657300236998,0.9424914699515347
incorrect_mask,wavelet_t90,9.997355842570935,26.881700210597774,0.7458720377729015
incorrect_mask,jpeg_q30,4.911147902869757,29.928582428083786,0.8750037378590337
incorrect_mask,jpeg_q70,2.6519320552299592,33.37851051478448,0.9286295095014919
incorrect_mask,jpeg_q90,1.3304594837037775,37.999561551105934,0.9678049211825644
incorrect_mask,wavelet_t70,3.330476174343164,42.098611222381194,0.9761559038900977
incorrect_mask,wavelet_t90,9.98770637541275,32.01665289883098,0.8682281365093601
incorrect_mask,jpeg_q30,4.735649546827794,30.323834974392554,0.8719039547144924
incorrect_mask,jpeg_q70,2.6171041647342546,33.42886205066731,0.9320174355007488
incorrect_mask,jpeg_q90,1.3361272908083535,37.605068255773816,0.9695829987686023
incorrect_mask,wavelet_t70,3.322989554811885,40.879777196307145,0.9743289553392271
