class,kernel_size,psnr,ssim
without_mask,3,38.05293405314324,0.9611294319454265
without_mask,5,39.322707795683115,0.9743850724442432
without_mask,7,38.27479482112573,0.9729080061664449
without_mask,3,39.565627440713484,0.9769580561393862
without_mask,5,36.41357001223548,0.9570594758823338
without_mask,7,33.849629914074235,0.9292144607075601
without_mask,3,40.7636969537871,0.9704152616273971
without_mask,5,41.00680426430306,0.9760308125947595
without_mask,7,39.5502430467773,0.9680493442636989
without_mask,3,37.30580018546728,0.9472163633449848
without_mask,5,37.55190202542269,0.9597736946126596
without_mask,7,36.15442592934755,0.945857580392607
incorrect_mask,3,30.152004782986147,0.8864058391971353
incorrect_mask,5,27.927908830057216,0.8420533390556725
incorrect_mask,7,26.653161911760463,0.7981166370723892
incorrect_mask,3,26.588484482041356,0.8694641216283614
incorrect_mask,5,24.1847664635457,0.7953477569921974
incorrect_mask,7,22.21476191220452,0.7236976165281371
incorrect_mask,3,27.930864143290904,0.8670782752173309
incorrect_mask,5,25.68872975039038,0.784241521964501
incorrect_mask,7,24.2061026286358,0.7095024232014469
incorrect_mask,3,23.504507073806963,0.7821166767352722
incorrect_mask,5,21.995332121045376,0.6937587377695298
incorrect_mask,7,21.482555411219106,0.6447530228044582
incorrect_mask,3,29.20527787117583,0.8504964110511167
incorrect_mask,5,27.64247573879325,0.7759065298216844
incorrect_mask,7,26.58258289980821,0.7190013488388134
incorrect_mask,3,24.46974703727846,0.7599488234141943
incorrect_mask,5,22.72978994738842,0.6262871305558723
incorrect_mask,7,21.8330044068931,0.5385927921675946
incorrect_mask,3,28.73166395936414,0.8575370260224168
incorrect_mask,5,26.991781816807084,0.8038938162149826
incorrect_mask,7,25.53510800398985,0.7591008250524505
incorrect_mask,3,28.537876595047003,0.9030874799482044
incorrect_mask,5,27.164008452157994,0.8674157782181444
incorrect_mask,7,25.976804191721286,0.8322974179862569
incorrect_mask,3,30.315397259652748,0.8798938552729676
incorrect_mask,5,28.684614839935115,0.8398841593437106
incorrect_mask,7,27.505973788543546,0.8050735801695397
incorrect_mask,3,29.16044912279631,0.8714749255419405
incorrect_mask,5,27.249830429780776,0.8080344758802663
incorrect_mask,7,25.959436127082892,0.7509637337101305
incorrect_mask,3,27.62108164297004,0.829469473692432
incorrect_mask,5,26.594626403555516,0.7821786776093888
incorrect_mask,7,25.784165450984297,0.7440396800210984
incorrect_mask,3,31.428257004589298,0.9057781188259751
incorrect_mask,5,30.062461719706786,0.8729542697024909
incorrect_mask,7,28.94587205236977,0.8417967029441651
incorrect_mask,3,27.268164303286845,0.8016493273213477
incorrect_mask,5,25.928280106903955,0.7283208658701149
incorrect_mask,7,24.943713180529695,0.670198891241018
incorrect_mask,3,29.95508757917131,0.8891556998099549
incorrect_mask,5,27.01097405319301,0.8432451094542842
incorrect_mask,7,25.589791267278947,0.8004836953338069
incorrect_mask,3,30.514529881490805,0.878738210870126
incorrect_mask,5,28.857120814401483,0.8376522711392788
incorrect_mask,7,27.748750099922926,0.7981446713826141
incorrect_mask,3,28.45087692703544,0.9012304050401622
incorrect_mask,5,25.714669485899115,0.8335565765480014
incorrect_mask,7,24.019981698054966,0.7715924106053084
incorrect_mask,3,28.179120381148305,0.8283010828716498
incorrect_mask,5,26.857827190579115,0.7585434920589021
incorrect_mask,7,25.855458694471785,0.7023107461396562
incorrect_mask,3,31.87698171755087,0.9341284355209506
incorrect_mask,5,30.191082067169003,0.904207838375792
incorrect_mask,7,28.627207465553486,0.8688510130893724
incorrect_mask,3,31.00754748848444,0.8460852835713748
incorrect_mask,5,29.778108844388747,0.8126524648832403
incorrect_mask,7,28.666530895349975,0.7789375123281967
incorrect_mask,3,30.783260304207612,0.8370638001888892
incorrect_mask,5,29.563662850481535,0.8082471863389958
incorrect_mask,7,28.462950034440976,0.7759279693894969
